LF_Genre,Mapped_YouView_Genre_1,Mapped_YouView_Genre_2
Drama > Comedy,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.5.7
Drama > Crime,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
Drama > Family,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9
Drama > Gay/Lesbian,urn:tva:metadata:cs:ContentCS:2010:3.4,
Drama > General,urn:tva:metadata:cs:ContentCS:2010:3.4,
Drama > Historical,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.6.5
Drama > Bollywood,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.6.17.3
Drama > Musical,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.10
Drama > Mystery,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.6.4
Drama > Period,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.14
Drama > Plays/Performance,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:FormatCS:2010:2.2
Drama > Romantic,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.3
Drama > Teen,urn:tva:metadata:cs:ContentCS:2010:3.4,http://refdata.youview.com/mpeg7cs/YouViewIntendedAudienceCS/2010-09-20#4.2.3
Drama > Television,urn:tva:metadata:cs:ContentCS:2010:3.4,
Drama > Thriller,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.6.10
Drama > War,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.6.8
Drama > Weepies,urn:tva:metadata:cs:ContentCS:2010:3.4,urn:tva:metadata:cs:ContentCS:2010:3.4.3
Family > Action & Adventure,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9,urn:tva:metadata:cs:ContentCS:2010:3.4.6
Family > Animated,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9,urn:tva:metadata:cs:FormatCS:2010:2.3.3
Family > Comedy,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9,urn:tva:metadata:cs:ContentCS:2010:3.5.7
Family > Drama,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9,urn:tva:metadata:cs:ContentCS:2010:3.4
Family > General,urn:tva:metadata:cs:IntendedAudienceCS:2010:4.9.9,
